Year,Series,Water type,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1987-1991,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1985-1989,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.008467959
1986-1990,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.129471607
1998-2002,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,0.63847403
1999-2003,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,0.613773027
2009-2013,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,0.983350061
2010-2014,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.227962949
2011-2015,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.42317383
2012-2016,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.912608052
2013-2017,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,2.248937744
2014-2018,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,2.336902498
2015-2019,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,2.311263482
2016-2020,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,2.402563393
2017-2021,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,2.190051387
1984-1988,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,7.790925678
1985-1989,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,8.115165428
1986-1990,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,8.621900774
1998-2002,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,8.948224997
1999-2003,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,9.133951527
2009-2013,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,10.84749242
2010-2014,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,11.102215
2011-2015,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,11.46939489
2012-2016,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,11.44729948
2013-2017,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,11.35683336
2014-2018,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,11.29513296
2015-2019,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,11.2750178
2016-2020,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,11.23061853
2017-2021,Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,11.51639976
2001-2005 (baseline),Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,0.902576739
2001-2005 (baseline),Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,0.385106357
2001-2005 (baseline),Open water area,Permanent,2060055320 (North West Northern Ireland),Square km,Normal value,Units,10.79704818
1984-1988,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,2.586726568
1985-1989,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,2.485629635
1986-1990,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,2.412256191
1998-2002,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,5.350945998
1999-2003,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,5.048697436
2009-2013,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,4.393234952
2010-2014,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,3.978633305
2011-2015,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,3.786653357
2012-2016,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,3.349018284
2013-2017,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,2.695952944
2014-2018,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,2.673961756
2015-2019,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,2.991114298
2016-2020,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,2.969435781
2017-2021,Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,3.150055352
1984-1988,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,3.545584073
1985-1989,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,3.770498692
1986-1990,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,4.184058103
1998-2002,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,2.090726256
1999-2003,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,2.072904013
2009-2013,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,3.389457057
2010-2014,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,3.927667944
2011-2015,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,4.573124958
2012-2016,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,5.004298165
2013-2017,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,6.065190615
2014-2018,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,6.698766134
2015-2019,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,6.720027757
2016-2020,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,6.919094913
2017-2021,Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,6.987569846
1984-1988,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,390.2093547
1985-1989,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,390.1285814
1986-1990,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,390.2156081
1998-2002,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,378.5669486
1999-2003,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,379.0567997
2009-2013,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,384.4211905
2010-2014,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,384.5096764
2011-2015,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,384.6512121
2012-2016,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,384.9173993
2013-2017,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,389.7310724
2014-2018,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,389.3515941
2015-2019,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,389.1073981
2016-2020,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,389.1856701
2017-2021,Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,389.3384619
2001-2005 (baseline),Open water area,Ephemeral,2060055600 (Central Northern Ireland),Square km,Normal value,Units,3.645742993
2001-2005 (baseline),Open water area,Seasonal,2060055600 (Central Northern Ireland),Square km,Normal value,Units,1.465905523
2001-2005 (baseline),Open water area,Permanent,2060055600 (Central Northern Ireland),Square km,Normal value,Units,389.8407157
1984-1988,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,3.75496937
1985-1989,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,3.559028923
1986-1990,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,3.860026801
1998-2002,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,8.420123804
1999-2003,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,8.056383293
2009-2013,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,7.959351083
2010-2014,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,7.464288784
2011-2015,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,7.376428254
2012-2016,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,6.144504807
2013-2017,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,5.641000393
2014-2018,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,5.569815646
2015-2019,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,5.98775245
2016-2020,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,5.923550686
2017-2021,Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,6.646966984
1984-1988,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,6.749731495
1985-1989,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,6.526380231
1986-1990,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,7.060526395
1998-2002,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,3.946532423
1999-2003,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,3.985720513
2009-2013,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,4.889235264
2010-2014,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,5.799316105
2011-2015,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,6.287186973
2012-2016,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,7.860234399
2013-2017,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,9.416084925
2014-2018,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,10.90783791
2015-2019,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,11.56601021
2016-2020,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,13.41754321
2017-2021,Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,13.18981455
1984-1988,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,56.84086447
1985-1989,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,57.88560225
1986-1990,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,57.77012246
1998-2002,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,48.03969903
1999-2003,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,49.74146265
2009-2013,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,56.56831964
2010-2014,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,56.84732633
2011-2015,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,58.01327621
2012-2016,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,59.51440933
2013-2017,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,60.29879646
2014-2018,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,59.5874701
2015-2019,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,58.87656064
2016-2020,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,57.48163142
2017-2021,Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,57.62212488
2001-2005 (baseline),Open water area,Ephemeral,2060055610 (East Northern Ireland),Square km,Normal value,Units,5.670287236
2001-2005 (baseline),Open water area,Seasonal,2060055610 (East Northern Ireland),Square km,Normal value,Units,2.150133732
2001-2005 (baseline),Open water area,Permanent,2060055610 (East Northern Ireland),Square km,Normal value,Units,51.33691816
1984-1988,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,4.943118887
1985-1989,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,4.279735406
1986-1990,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,3.697229472
1998-2002,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,4.764479565
1999-2003,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,4.882356504
2009-2013,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,5.995881894
2010-2014,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,5.444747275
2011-2015,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,6.181816871
2012-2016,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,9.372310996
2013-2017,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,12.42950308
2014-2018,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,15.5609024
2015-2019,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,18.95619598
2016-2020,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,21.02368037
2017-2021,Open water area,Ephemeral,2060059370 (Shetland),Square km,Normal value,Units,21.29862234
1984-1988,Open water area,Seasonal,2060059370 (Shetland),Square km,Normal value,Units,4.638473182
1985-1989,Open water area,Seasonal,2060059370 (Shetland),Square km,Normal value,Units,5.506030777
1986-1990,Open water area,Seasonal,2060059370 (Shetland),Square km,Normal value,Units,6.472809279
1998-2002,Open water area,Seasonal,2060059370 (Shetland),Square km,Normal value,Units,3.020192694
1999-2003,Open water area,Seasonal,2060059370 (Shetland),Square km,Normal value,Units,3.087416943
