Year,Region,Local authority,Age,Main method of contraception,Type of contraception,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2020/21,West Midlands,Staffordshire,,User dependent,,Normal value,Thousands,Number,E12000005,2.2
2020/21,West Midlands,Stoke-on-Trent,,User dependent,,Normal value,Thousands,Number,E12000005,1.28
2020/21,West Midlands,Telford and Wrekin,,User dependent,,Normal value,Thousands,Number,E12000005,0.335
2020/21,West Midlands,Walsall,,User dependent,,Normal value,Thousands,Number,E12000005,1.76
2020/21,West Midlands,Warwickshire,,User dependent,,Normal value,Thousands,Number,E12000005,1.295
2020/21,West Midlands,Wolverhampton,,User dependent,,Normal value,Thousands,Number,E12000005,0.87
2020/21,West Midlands,Worcestershire,,User dependent,,Normal value,Thousands,Number,E12000005,2.045
2020/21,East of England,Bedford,,User dependent,,Normal value,Thousands,Number,E12000006,0.78
2020/21,East of England,Cambridgeshire,,User dependent,,Normal value,Thousands,Number,E12000006,1.115
2020/21,East of England,Central Bedfordshire,,User dependent,,Normal value,Thousands,Number,E12000006,0.535
2020/21,East of England,Essex,,User dependent,,Normal value,Thousands,Number,E12000006,4.995
2020/21,East of England,Hertfordshire,,User dependent,,Normal value,Thousands,Number,E12000006,6.51
2020/21,East of England,Luton,,User dependent,,Normal value,Thousands,Number,E12000006,0.505
2020/21,East of England,Norfolk,,User dependent,,Normal value,Thousands,Number,E12000006,2.67
2020/21,East of England,Peterborough,,User dependent,,Normal value,Thousands,Number,E12000006,1.335
2020/21,East of England,Southend-on-Sea,,User dependent,,Normal value,Thousands,Number,E12000006,0.875
2020/21,East of England,Suffolk,,User dependent,,Normal value,Thousands,Number,E12000006,2.05
2020/21,East of England,Thurrock,,User dependent,,Normal value,Thousands,Number,E12000006,0.675
2020/21,London,Barking and Dagenham,,User dependent,,Normal value,Thousands,Number,E12000007,1.01
2020/21,London,Barnet,,User dependent,,Normal value,Thousands,Number,E12000007,2.455
2020/21,London,Bexley,,User dependent,,Normal value,Thousands,Number,E12000007,0.485
2020/21,London,Brent,,User dependent,,Normal value,Thousands,Number,E12000007,2.87
2020/21,London,Bromley,,User dependent,,Normal value,Thousands,Number,E12000007,1.03
2020/21,London,Camden,,User dependent,,Normal value,Thousands,Number,E12000007,1.97
2020/21,London,Croydon,,User dependent,,Normal value,Thousands,Number,E12000007,2.885
2020/21,London,Ealing,,User dependent,,Normal value,Thousands,Number,E12000007,4.275
2020/21,London,Enfield,,User dependent,,Normal value,Thousands,Number,E12000007,0.415
2020/21,London,Greenwich,,User dependent,,Normal value,Thousands,Number,E12000007,1.61
2020/21,London,Hackney,,User dependent,,Normal value,Thousands,Number,E12000007,0.92
2020/21,London,Hammersmith and Fulham,,User dependent,,Normal value,Thousands,Number,E12000007,2.035
2020/21,London,Haringey,,User dependent,,Normal value,Thousands,Number,E12000007,2.055
2020/21,London,Harrow,,User dependent,,Normal value,Thousands,Number,E12000007,2.515
2020/21,London,Havering,,User dependent,,Normal value,Thousands,Number,E12000007,0.6
2020/21,London,Hillingdon,,User dependent,,Normal value,Thousands,Number,E12000007,2.77
2020/21,London,Hounslow,,User dependent,,Normal value,Thousands,Number,E12000007,1.315
2020/21,London,Islington,,User dependent,,Normal value,Thousands,Number,E12000007,2.2
2020/21,London,Kensington and Chelsea,,User dependent,,Normal value,Thousands,Number,E12000007,1.045
2020/21,London,Kingston upon Thames,,User dependent,,Normal value,Thousands,Number,E12000007,0.915
2020/21,London,Lambeth,,User dependent,,Normal value,Thousands,Number,E12000007,2.77
2020/21,London,Lewisham,,User dependent,,Normal value,Thousands,Number,E12000007,3.23
2020/21,London,Merton,,User dependent,,Normal value,Thousands,Number,E12000007,1.335
2020/21,London,Newham,,User dependent,,Normal value,Thousands,Number,E12000007,1.775
2020/21,London,Redbridge,,User dependent,,Normal value,Thousands,Number,E12000007,0.705
2020/21,London,Richmond upon Thames,,User dependent,,Normal value,Thousands,Number,E12000007,0.615
2020/21,London,Southwark,,User dependent,,Normal value,Thousands,Number,E12000007,3.29
2020/21,London,Sutton,,User dependent,,Normal value,Thousands,Number,E12000007,0.54
2020/21,London,Tower Hamlets,,User dependent,,Normal value,Thousands,Number,E12000007,1.825
2020/21,London,Waltham Forest,,User dependent,,Normal value,Thousands,Number,E12000007,1.115
2020/21,London,Wandsworth,,User dependent,,Normal value,Thousands,Number,E12000007,2.495
2020/21,London,Westminster,,User dependent,,Normal value,Thousands,Number,E12000007,1.27
2020/21,South East,Bracknell Forest,,User dependent,,Normal value,Thousands,Number,E12000008,0.315
2020/21,South East,Brighton and Hove,,User dependent,,Normal value,Thousands,Number,E12000008,1.675
2020/21,South East,Buckinghamshire,,User dependent,,Normal value,Thousands,Number,E12000008,2.655
2020/21,South East,East Sussex,,User dependent,,Normal value,Thousands,Number,E12000008,2.995
2020/21,South East,Hampshire,,User dependent,,Normal value,Thousands,Number,E12000008,1.95
2020/21,South East,Isle of Wight,,User dependent,,Normal value,Thousands,Number,E12000008,0.255
2020/21,South East,Kent,,User dependent,,Normal value,Thousands,Number,E12000008,4.49
2020/21,South East,Medway,,User dependent,,Normal value,Thousands,Number,E12000008,2.14
2020/21,South East,Milton Keynes,,User dependent,,Normal value,Thousands,Number,E12000008,1.095
2020/21,South East,Oxfordshire,,User dependent,,Normal value,Thousands,Number,E12000008,2.585
2020/21,South East,Portsmouth,,User dependent,,Normal value,Thousands,Number,E12000008,0.66
2020/21,South East,Reading,,User dependent,,Normal value,Thousands,Number,E12000008,0.69
2020/21,South East,Slough,,User dependent,,Normal value,Thousands,Number,E12000008,0.75
2020/21,South East,Southampton,,User dependent,,Normal value,Thousands,Number,E12000008,0.57
2020/21,South East,Surrey,,User dependent,,Normal value,Thousands,Number,E12000008,3.655
2020/21,South East,West Berkshire,,User dependent,,Normal value,Thousands,Number,E12000008,0.2
2020/21,South East,West Sussex,,User dependent,,Normal value,Thousands,Number,E12000008,5.32
2020/21,South East,Windsor and Maidenhead,,User dependent,,Normal value,Thousands,Number,E12000008,0.415
2020/21,South East,Wokingham,,User dependent,,Normal value,Thousands,Number,E12000008,0.28
2020/21,South West,Bath and North East Somerset,,User dependent,,Normal value,Thousands,Number,E12000009,0.24
2020/21,South West,"Bournemouth, Christchurch and Poole",,User dependent,,Normal value,Thousands,Number,E12000009,1.76
2020/21,South West,"Bristol, City of",,User dependent,,Normal value,Thousands,Number,E12000009,1.62
2020/21,South West,Cornwall,,User dependent,,Normal value,Thousands,Number,E12000009,2.945
2020/21,South West,Devon,,User dependent,,Normal value,Thousands,Number,E12000009,3.545
2020/21,South West,Dorset,,User dependent,,Normal value,Thousands,Number,E12000009,1.645
2020/21,South West,Gloucestershire,,User dependent,,Normal value,Thousands,Number,E12000009,1.96
2020/21,South West,North Somerset,,User dependent,,Normal value,Thousands,Number,E12000009,0.59
2020/21,South West,Plymouth,,User dependent,,Normal value,Thousands,Number,E12000009,1.65
2020/21,South West,Somerset,,User dependent,,Normal value,Thousands,Number,E12000009,2.195
2020/21,South West,South Gloucestershire,,User dependent,,Normal value,Thousands,Number,E12000009,0.39
2020/21,South West,Swindon,,User dependent,,Normal value,Thousands,Number,E12000009,1.145
2020/21,South West,Torbay,,User dependent,,Normal value,Thousands,Number,E12000009,0.905
2020/21,South West,Wiltshire,,User dependent,,Normal value,Thousands,Number,E12000009,1.005
2020/21,,,15 and under,,,Normal value,Thousands,Number,,7.922
2020/21,,,16 to 17,,,Normal value,Thousands,Number,,27.088
2020/21,,,18 to 19,,,Normal value,Thousands,Number,,42.382
2020/21,,,20 to 24,,,Normal value,Thousands,Number,,123.435
2020/21,,,25 to 34,,,Normal value,Thousands,Number,,170.129
2020/21,,,35 to 44,,,Normal value,Thousands,Number,,77.465
2020/21,,,45 and over,,,Normal value,Thousands,Number,,30.793
2020/21,,,,,,Normal value,Thousands,Number,,479.22
2020/21,North East,,,,,Normal value,Thousands,Number,E12000001,27.68
2020/21,North West,,,,,Normal value,Thousands,Number,E12000002,86.39
2020/21,Yorkshire and The Humber,,,,,Normal value,Thousands,Number,E12000003,38.315
2020/21,East Midlands,,,,,Normal value,Thousands,Number,E12000004,37.115
2020/21,West Midlands,,,,,Normal value,Thousands,Number,E12000005,29.75
2020/21,East of England,,,,,Normal value,Thousands,Number,E12000006,38.1
2020/21,London,,,,,Normal value,Thousands,Number,E12000007,101.22
2020/21,South East,,,,,Normal value,Thousands,Number,E12000008,63.835
2020/21,South West,,,,,Normal value,Thousands,Number,E12000009,41.84
2020/21,North East,County Durham,,,,Normal value,Thousands,Number,E12000001,0.495
2020/21,North East,Darlington,,,,Normal value,Thousands,Number,E12000001,0.025
2020/21,North East,Gateshead,,,,Normal value,Thousands,Number,E12000001,2.78
2020/21,North East,Hartlepool,,,,Normal value,Thousands,Number,E12000001,1.6
2020/21,North East,Middlesbrough,,,,Normal value,Thousands,Number,E12000001,1.15
2020/21,North East,Newcastle upon Tyne,,,,Normal value,Thousands,Number,E12000001,3.46
2020/21,North East,North Tyneside,,,,Normal value,Thousands,Number,E12000001,3.555
2020/21,North East,Northumberland,,,,Normal value,Thousands,Number,E12000001,3.85
2020/21,North East,Redcar and Cleveland,,,,Normal value,Thousands,Number,E12000001,1.11
2020/21,North East,South Tyneside,,,,Normal value,Thousands,Number,E12000001,3.42
2020/21,North East,Stockton-on-Tees,,,,Normal value,Thousands,Number,E12000001,1.495
2020/21,North East,Sunderland,,,,Normal value,Thousands,Number,E12000001,4.735
2020/21,North West,Blackburn with Darwen,,,,Normal value,Thousands,Number,E12000002,2.14
2020/21,North West,Blackpool,,,,Normal value,Thousands,Number,E12000002,2.875
2020/21,North West,Bolton,,,,Normal value,Thousands,Number,E12000002,1.36
2020/21,North West,Bury,,,,Normal value,Thousands,Number,E12000002,0.975
2020/21,North West,Cheshire East,,,,Normal value,Thousands,Number,E12000002,4.485
2020/21,North West,Cheshire West and Chester,,,,Normal value,Thousands,Number,E12000002,2.465
2020/21,North West,Cumbria,,,,Normal value,Thousands,Number,E12000002,1.495
2020/21,North West,Halton,,,,Normal value,Thousands,Number,E12000002,2.28
2020/21,North West,Knowsley,,,,Normal value,Thousands,Number,E12000002,4.24
2020/21,North West,Lancashire,,,,Normal value,Thousands,Number,E12000002,15.65
2020/21,North West,Liverpool,,,,Normal value,Thousands,Number,E12000002,13.335
2020/21,North West,Manchester,,,,Normal value,Thousands,Number,E12000002,7.15
2020/21,North West,Oldham,,,,Normal value,Thousands,Number,E12000002,2.09
2020/21,North West,Rochdale,,,,Normal value,Thousands,Number,E12000002,1.585
2020/21,North West,Salford,,,,Normal value,Thousands,Number,E12000002,2.09
2020/21,North West,Sefton,,,,Normal value,Thousands,Number,E12000002,6.39
2020/21,North West,St. Helens,,,,Normal value,Thousands,Number,E12000002,3.935
2020/21,North West,Stockport,,,,Normal value,Thousands,Number,E12000002,1.37
2020/21,North West,Tameside,,,,Normal value,Thousands,Number,E12000002,1.415
2020/21,North West,Trafford,,,,Normal value,Thousands,Number,E12000002,1.27
2020/21,North West,Warrington,,,,Normal value,Thousands,Number,E12000002,1.685
2020/21,North West,Wigan,,,,Normal value,Thousands,Number,E12000002,2.77
2020/21,North West,Wirral,,,,Normal value,Thousands,Number,E12000002,3.345
2020/21,Yorkshire and The Humber,Barnsley,,,,Normal value,Thousands,Number,E12000003,1.28
2020/21,Yorkshire and The Humber,Bradford,,,,Normal value,Thousands,Number,E12000003,3.415
2020/21,Yorkshire and The Humber,Calderdale,,,,Normal value,Thousands,Number,E12000003,2.245
2020/21,Yorkshire and The Humber,Doncaster,,,,Normal value,Thousands,Number,E12000003,5.175
2020/21,Yorkshire and The Humber,East Riding of Yorkshire,,,,Normal value,Thousands,Number,E12000003,2.725
2020/21,Yorkshire and The Humber,"Kingston upon Hull, City of",,,,Normal value,Thousands,Number,E12000003,4.3
2020/21,Yorkshire and The Humber,Kirklees,,,,Normal value,Thousands,Number,E12000003,3.355
2020/21,Yorkshire and The Humber,Leeds,,,,Normal value,Thousands,Number,E12000003,5.37
2020/21,Yorkshire and The Humber,North East Lincolnshire,,,,Normal value,Thousands,Number,E12000003,0.985
2020/21,Yorkshire and The Humber,North Lincolnshire,,,,Normal value,Thousands,Number,E12000003,0.86
2020/21,Yorkshire and The Humber,North Yorkshire,,,,Normal value,Thousands,Number,E12000003,2.875
2020/21,Yorkshire and The Humber,Rotherham,,,,Normal value,Thousands,Number,E12000003,2.21
2020/21,Yorkshire and The Humber,Sheffield,,,,Normal value,Thousands,Number,E12000003,0.235
2020/21,Yorkshire and The Humber,Wakefield,,,,Normal value,Thousands,Number,E12000003,1.46
2020/21,Yorkshire and The Humber,York,,,,Normal value,Thousands,Number,E12000003,1.83
2020/21,East Midlands,Derby,,,,Normal value,Thousands,Number,E12000004,2.495
2020/21,East Midlands,Derbyshire,,,,Normal value,Thousands,Number,E12000004,7.53
2020/21,East Midlands,Leicester,,,,Normal value,Thousands,Number,E12000004,3.225
2020/21,East Midlands,Leicestershire,,,,Normal value,Thousands,Number,E12000004,3.395
2020/21,East Midlands,Lincolnshire,,,,Normal value,Thousands,Number,E12000004,4.39
2020/21,East Midlands,Northamptonshire,,,,Normal value,Thousands,Number,E12000004,3.315
2020/21,East Midlands,Nottingham,,,,Normal value,Thousands,Number,E12000004,5.295
2020/21,East Midlands,Nottinghamshire,,,,Normal value,Thousands,Number,E12000004,7.47
2020/21,West Midlands,Birmingham,,,,Normal value,Thousands,Number,E12000005,3.085
2020/21,West Midlands,Coventry,,,,Normal value,Thousands,Number,E12000005,1.55
2020/21,West Midlands,Dudley,,,,Normal value,Thousands,Number,E12000005,2.625
2020/21,West Midlands,"Herefordshire, County of",,,,Normal value,Thousands,Number,E12000005,1.01
2020/21,West Midlands,Sandwell,,,,Normal value,Thousands,Number,E12000005,2.91
2020/21,West Midlands,Shropshire,,,,Normal value,Thousands,Number,E12000005,0.6
2020/21,West Midlands,Solihull,,,,Normal value,Thousands,Number,E12000005,0.455
2020/21,West Midlands,Staffordshire,,,,Normal value,Thousands,Number,E12000005,3.56
2020/21,West Midlands,Stoke-on-Trent,,,,Normal value,Thousands,Number,E12000005,1.965
2020/21,West Midlands,Telford and Wrekin,,,,Normal value,Thousands,Number,E12000005,0.505
2020/21,West Midlands,Walsall,,,,Normal value,Thousands,Number,E12000005,3.205
2020/21,West Midlands,Warwickshire,,,,Normal value,Thousands,Number,E12000005,2.75
2020/21,West Midlands,Wolverhampton,,,,Normal value,Thousands,Number,E12000005,2.035
2020/21,West Midlands,Worcestershire,,,,Normal value,Thousands,Number,E12000005,3.485
